id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage
255,1,3,1,1,1,2,0,10,152.0,4
256,0,5,1,4,1,1,0,7,122.0,9
257,1,5,1,4,1,1,0,7,124.0,5
258,1,4,1,3,0,1,1,11,26.0,5
259,0,4,1,1,0,1,1,7,124.0,8
260,0,4,1,1,0,1,1,10,26.0,8
261,0,3,1,3,0,1,1,7,154.0,5
262,1,4,1,3,0,1,1,10,122.0,9
263,1,4,1,2,0,1,0,10,26.0,1
264,0,3,1,3,1,2,0,10,152.0,4
265,0,4,1,3,0,1,1,10,26.0,8
266,0,6,0,3,1,1,1,10,124.0,9
267,0,4,1,4,0,1,1,7,26.0,8
268,1,3,1,4,1,2,0,10,152.0,6
269,1,3,1,3,1,2,0,10,152.0,6
270,1,3,1,2,1,2,0,10,152.0,1
271,0,3,1,3,1,2,0,11,152.0,0
272,0,3,1,1,0,3,1,10,124.0,6
273,0,3,1,4,0,1,1,7,156.0,9
274,0,4,1,4,0,2,0,7,1.0,1
275,1,3,1,4,1,2,0,10,152.0,7
276,0,4,1,3,0,1,1,10,124.0,5
277,1,3,1,3,1,2,1,10,160.0,8
278,1,4,1,3,1,1,0,11,15.0,2
279,1,3,1,1,1,2,0,10,152.0,3
280,1,4,1,2,0,1,1,7,156.0,3
281,0,3,1,1,0,2,1,10,160.0,4
282,0,4,1,3,1,1,1,10,26.0,4
283,0,5,1,3,0,3,1,11,26.0,7
284,0,4,1,2,0,1,1,10,124.0,0
285,0,3,1,3,0,1,1,10,26.0,9
286,1,3,1,1,1,2,0,10,152.0,5
287,1,5,1,4,0,1,1,7,124.0,8
288,1,3,1,3,1,2,0,10,152.0,7
289,0,3,1,1,1,2,0,9,152.0,6
290,1,4,1,1,1,1,0,10,152.0,2
291,1,3,1,2,0,2,1,10,152.0,4
292,1,3,1,4,1,2,0,10,152.0,3
293,1,4,1,3,0,1,1,10,122.0,8
294,1,4,1,4,0,1,1,10,26.0,0
295,1,4,1,4,1,1,0,7,124.0,8
296,0,5,1,2,1,1,0,7,124.0,1
297,1,3,1,3,0,2,1,10,152.0,1
298,1,3,1,1,1,2,0,10,152.0,9
299,1,3,1,4,1,2,0,7,152.0,7
300,0,5,1,4,0,1,1,9,26.0,5
301,1,3,1,2,1,2,0,10,152.0,8
302,0,4,1,1,0,1,1,10,124.0,0
303,1,3,1,1,1,2,0,7,26.0,1
304,0,4,1,4,0,1,1,10,124.0,1
305,1,3,1,3,1,2,0,10,152.0,3
306,1,5,1,3,1,1,0,10,124.0,4
307,0,5,1,1,1,1,0,7,26.0,4
308,0,4,1,3,0,1,1,10,26.0,7
309,0,5,1,4,0,1,1,11,26.0,7
310,1,4,1,3,0,1,1,7,122.0,6
311,0,3,1,1,0,2,1,10,152.0,3
312,0,4,1,4,1,1,0,10,152.0,2
313,1,3,1,1,1,2,0,10,152.0,0
314,1,3,1,4,0,2,0,7,1.0,2
315,1,3,1,4,1,2,0,10,152.0,1
316,1,4,1,3,0,1,1,10,124.0,8
317,1,3,1,4,1,2,0,10,160.0,0
318,1,5,1,3,1,1,0,11,52.0,2
319,0,3,1,4,1,2,0,10,160.0,4
320,1,3,1,1,0,2,1,10,152.0,1
321,1,5,1,3,1,1,0,10,124.0,7
322,0,3,1,4,1,2,0,10,160.0,3
323,0,4,1,3,0,1,1,10,124.0,3
324,0,3,1,4,1,2,0,10,152.0,1
325,0,3,1,4,1,2,0,10,152.0,8
326,0,3,1,2,1,2,0,10,152.0,5
327,0,3,1,4,0,2,1,9,124.0,6
328,0,4,1,2,0,1,1,10,26.0,6
329,0,4,1,3,0,1,1,10,124.0,1
330,1,3,1,1,1,2,0,7,152.0,9
331,1,3,1,4,1,1,0,7,124.0,8
332,0,5,1,1,0,3,1,11,26.0,0
333,0,3,1,4,1,2,0,10,152.0,2
334,1,3,1,2,0,2,1,7,160.0,7
335,1,3,1,1,1,2,0,10,152.0,5
336,0,3,1,2,1,2,0,10,152.0,7
337,0,5,1,4,0,1,1,10,26.0,4
338,1,5,1,2,1,1,0,10,124.0,3
339,0,3,1,2,1,2,0,10,152.0,5
340,1,6,1,3,1,1,0,7,55.0,6
341,0,6,1,1,1,1,0,10,7.0,3
342,1,3,1,3,1,2,0,10,152.0,7
343,1,3,1,4,0,2,0,7,152.0,5
344,1,5,1,3,0,1,1,10,122.0,4
345,1,5,1,2,0,1,1,7,26.0,6
346,1,3,1,3,1,2,0,10,152.0,8
347,0,3,1,4,1,2,0,10,152.0,2
348,1,3,1,4,1,1,1,9,154.0,0
349,1,3,1,4,0,2,1,10,152.0,2
350,0,5,1,3,0,1,1,11,26.0,2
351,1,3,1,4,1,2,0,10,8.0,3
352,1,3,1,4,1,2,0,10,152.0,7
353,0,3,1,2,0,2,1,10,152.0,3
354,0,3,1,1,0,2,1,10,152.0,2
355,1,5,1,2,0,1,0,10,14.0,1
356,0,4,1,1,0,1,1,10,124.0,4
357,1,6,1,3,0,3,1,11,154.0,4
358,1,4,1,3,0,1,1,9,124.0,9
359,0,3,1,1,1,2,1,10,152.0,0
360,0,5,1,2,0,3,1,10,124.0,1
361,1,5,1,1,1,1,0,10,7.0,1
362,1,3,1,4,1,2,0,10,152.0,0
363,1,3,1,4,1,2,0,10,152.0,0
364,0,3,1,3,0,2,0,10,124.0,1
365,0,5,1,1,0,1,1,7,124.0,4
366,0,4,1,2,0,1,1,10,122.0,1
367,1,4,1,3,0,3,1,10,124.0,6
368,0,5,1,3,0,3,1,10,26.0,8
369,1,4,1,3,1,1,0,11,26.0,2
370,1,4,1,3,0,1,1,10,26.0,1
371,1,4,1,3,0,1,1,10,154.0,4
372,1,3,1,1,1,2,0,10,152.0,2
373,0,5,1,2,0,1,0,10,124.0,1
374,1,4,1,4,0,1,1,10,154.0,7
375,0,3,1,3,1,2,0,11,152.0,9
376,0,4,1,3,0,1,1,10,122.0,0
377,0,3,1,1,1,2,0,10,152.0,4
378,1,3,1,1,1,2,0,10,160.0,0
379,1,3,1,4,1,2,0,10,152.0,6
380,0,3,1,1,1,2,0,10,152.0,8
381,1,5,1,1,1,1,0,10,122.0,9
382,1,3,1,1,1,2,0,10,152.0,4
383,0,3,1,2,0,2,1,10,160.0,0
384,1,3,1,4,0,1,1,7,156.0,3
385,0,4,1,1,1,1,0,7,124.0,9
386,0,3,1,3,1,2,0,10,160.0,4
387,0,5,0,4,0,1,1,10,26.0,6
388,0,4,1,3,0,3,1,10,26.0,4
389,0,3,1,3,1,2,0,10,152.0,3
390,1,3,1,3,1,2,0,9,152.0,1
391,1,4,1,4,1,1,0,7,26.0,3
392,1,3,1,4,1,2,0,10,152.0,8
393,0,5,1,4,1,1,0,10,8.0,4
394,0,3,1,2,1,2,0,7,152.0,2
395,0,5,1,2,0,1,0,9,26.0,3
396,1,3,1,4,1,1,0,10,124.0,5
397,1,3,1,1,1,2,0,7,152.0,4
398,0,4,1,1,0,1,1,10,124.0,4
399,1,6,1,3,1,1,0,10,26.0,8
400,0,5,1,4,0,1,1,7,26.0,1
401,0,3,1,3,1,2,0,10,152.0,6
402,0,3,1,4,1,2,0,10,152.0,8
403,0,3,1,4,1,2,0,7,160.0,6
404,1,3,1,3,0,2,1,10,152.0,9
405,0,4,1,3,0,1,1,7,122.0,8
406,0,3,1,4,1,2,0,10,152.0,9
407,0,6,1,2,0,1,1,10,14.0,7
408,1,3,1,3,1,2,0,9,152.0,6
409,0,5,1,3,0,3,1,10,26.0,1
410,0,4,1,1,0,1,1,10,124.0,7
411,0,3,1,2,1,2,0,10,152.0,2
412,0,6,1,3,0,1,1,7,26.0,5
413,0,3,1,2,1,2,0,10,152.0,9
414,0,4,1,3,0,1,1,10,26.0,9
415,1,3,1,3,1,2,0,10,152.0,3
416,0,4,1,3,0,1,1,10,26.0,2
417,0,3,1,4,1,2,0,10,152.0,6
418,1,3,1,3,1,1,0,10,26.0,9
419,0,5,1,3,0,3,1,10,124.0,5
420,0,4,1,4,0,1,1,10,26.0,3
421,1,5,1,1,0,1,1,10,26.0,7
422,0,5,1,4,0,1,1,7,26.0,3
423,1,3,1,1,1,2,0,7,160.0,4
424,1,4,1,4,1,1,0,10,26.0,9
425,0,5,1,3,1,1,0,7,145.0,9
426,1,4,1,4,0,1,1,10,157.0,9
427,1,3,1,2,1,2,0,10,152.0,2
428,0,3,1,4,1,2,0,10,152.0,1
429,0,3,1,4,0,2,1,7,154.0,1
430,1,4,1,3,1,1,0,10,122.0,4
431,1,3,1,3,1,2,0,7,160.0,3
432,0,4,1,1,0,1,1,10,26.0,3
433,0,5,1,3,1,1,1,10,26.0,7
434,1,3,1,3,1,2,1,10,160.0,6
435,1,6,1,3,0,1,1,10,26.0,4
436,0,4,1,3,0,3,1,10,122.0,4
437,0,5,1,3,1,1,0,10,26.0,7
438,1,5,1,3,0,1,1,7,26.0,5
439,0,3,1,2,1,2,0,10,152.0,6
440,0,5,1,1,1,1,0,10,124.0,7
441,1,5,1,3,0,1,1,10,24.0,6
442,1,3,1,4,1,2,0,10,160.0,1
443,1,3,1,3,1,2,0,11,152.0,6
444,1,4,1,4,1,1,0,7,124.0,7
445,0,4,1,2,1,1,0,10,124.0,5
446,1,5,1,3,0,1,1,10,124.0,0
447,1,5,1,3,0,1,1,10,152.0,1
448,1,3,1,1,1,2,0,7,152.0,9
449,1,3,1,4,1,2,0,10,152.0,3
450,1,3,1,3,1,2,0,10,152.0,0
451,1,3,1,4,0,2,1,10,160.0,1
452,0,3,1,3,1,2,0,9,152.0,8
453,0,4,1,1,0,1,0,10,154.0,6
454,1,3,1,4,1,2,0,10,152.0,3
455,0,3,1,3,1,2,0,10,152.0,9
456,0,4,1,3,0,3,1,11,124.0,8
457,0,3,1,4,0,2,1,10,152.0,1
458,1,3,1,1,0,2,1,10,152.0,9
459,1,3,1,3,1,2,0,10,152.0,2
460,1,4,1,3,0,1,1,10,26.0,2
461,0,4,1,3,0,1,1,10,26.0,5
462,1,3,1,1,1,2,0,10,160.0,4
463,0,3,1,1,0,2,0,7,152.0,8
464,0,3,1,4,1,2,0,10,152.0,7
465,0,3,1,2,1,2,0,10,152.0,9
466,0,5,1,1,1,1,0,10,26.0,5
467,1,3,1,4,1,2,0,9,160.0,1
468,0,5,0,3,0,3,1,10,26.0,9
469,1,3,1,4,1,2,0,10,152.0,0
470,0,5,1,2,0,3,1,10,124.0,9
471,0,4,1,3,0,1,1,7,26.0,6
472,0,4,1,3,0,3,1,10,31.0,9
473,1,3,1,4,1,2,0,9,152.0,9
474,0,3,1,4,1,2,0,9,152.0,0
475,1,3,1,1,1,2,0,11,160.0,9
476,0,5,1,3,0,1,1,10,26.0,4
477,1,3,1,2,1,2,0,10,152.0,8
478,0,3,1,4,1,2,0,10,152.0,4
479,0,3,1,3,1,2,0,10,152.0,9
480,0,4,1,3,1,1,0,10,152.0,4
481,0,3,1,4,0,2,1,10,26.0,5
482,1,3,1,4,1,2,0,10,152.0,5
483,1,3,1,4,0,2,1,10,152.0,3
484,1,3,1,2,1,2,0,9,152.0,3
485,1,3,1,3,0,2,1,10,124.0,6
486,1,3,1,4,0,2,1,10,160.0,0
487,0,3,1,2,0,1,1,10,26.0,1
488,0,4,1,3,1,1,0,10,26.0,0
489,1,3,1,2,1,2,1,9,152.0,7
490,0,4,1,1,0,1,1,10,122.0,5
491,1,5,1,4,1,1,0,10,26.0,1
492,0,3,1,4,1,2,0,10,152.0,6
493,1,6,1,3,0,1,1,10,24.0,1
494,1,4,1,3,1,1,0,10,26.0,7
495,1,4,1,4,0,1,1,10,124.0,5
496,1,4,1,3,1,1,0,7,26.0,7
497,1,4,1,1,0,1,1,10,124.0,6
498,1,4,1,3,1,1,0,10,25.0,2
499,1,4,1,3,1,1,1,10,122.0,9
500,1,5,1,3,1,1,0,11,26.0,4
501,0,5,1,3,0,3,1,11,124.0,8
502,1,5,1,1,1,1,0,10,124.0,6
503,1,4,1,1,0,1,1,10,26.0,4
504,1,5,1,4,0,1,1,10,124.0,6
505,0,3,1,1,1,2,0,10,152.0,8
506,1,5,1,1,1,1,0,10,26.0,9
507,1,3,1,4,0,2,1,10,152.0,5
508,0,4,1,4,0,1,0,10,124.0,6
509,0,3,1,4,1,2,0,7,152.0,3
510,1,3,1,2,0,2,1,10,152.0,6
511,1,3,1,3,0,2,1,10,152.0,7
512,1,3,1,2,1,2,0,10,160.0,5
513,0,3,1,4,1,2,0,11,152.0,9
514,1,3,1,4,1,2,0,10,152.0,0
515,0,4,1,2,0,1,1,7,156.0,0
516,0,3,1,4,0,2,1,10,152.0,9
517,0,6,1,4,1,1,0,10,26.0,7
518,0,3,1,3,0,2,1,7,152.0,1
519,0,5,1,3,0,1,1,10,26.0,2
520,0,6,1,4,0,1,1,10,26.0,8
521,1,4,1,4,0,1,1,9,152.0,2
522,1,5,1,3,1,1,0,10,124.0,4
523,1,3,1,3,0,2,1,10,152.0,2
524,1,3,1,1,1,2,0,10,152.0,6
525,0,5,1,3,0,3,1,10,26.0,7
526,1,3,1,4,0,1,1,10,152.0,3
527,0,3,1,1,1,2,0,10,152.0,9
528,1,4,1,1,1,1,0,7,124.0,6
529,0,4,1,1,0,1,1,10,26.0,3
530,0,4,1,3,0,1,1,10,124.0,2
531,0,5,1,3,0,3,1,10,26.0,3
532,1,4,1,3,0,1,1,7,156.0,6
533,1,3,1,4,0,2,1,10,160.0,1
534,1,3,1,3,1,1,0,10,122.0,0
535,0,4,1,4,0,1,1,7,124.0,2
536,1,5,1,4,0,1,0,10,26.0,8
537,1,4,1,3,0,1,1,7,156.0,5
538,1,6,1,3,0,3,1,10,124.0,7
539,1,5,1,3,0,1,1,10,163.0,5
540,0,3,1,4,0,1,1,10,124.0,5
541,0,3,1,4,0,2,1,10,152.0,1
542,0,3,1,2,1,2,0,10,152.0,9
543,1,5,1,3,1,1,0,10,152.0,5
544,1,3,1,3,1,2,0,10,152.0,2
545,0,5,1,4,0,1,0,10,11.0,0
546,1,3,1,2,1,2,0,10,152.0,2
547,1,3,1,2,1,2,0,9,152.0,2
548,0,4,1,3,0,1,1,10,124.0,5
549,0,5,1,3,1,1,0,10,26.0,1
550,0,3,1,4,0,2,0,10,152.0,6
551,0,3,1,1,1,2,0,10,152.0,7
552,0,5,1,3,1,1,0,10,124.0,4
553,0,3,1,3,1,2,0,10,152.0,8
554,0,5,1,3,0,1,1,10,13.0,6
555,1,3,1,1,1,2,0,10,152.0,0
556,1,3,1,4,1,2,0,10,152.0,4
557,0,4,1,1,0,1,1,10,124.0,3
558,1,3,1,3,1,2,0,11,124.0,9
559,0,3,1,4,0,1,1,10,124.0,4
560,0,5,1,4,0,3,1,10,124.0,1
561,1,4,1,3,0,1,1,10,26.0,6
562,0,3,1,4,1,2,0,10,152.0,6
563,1,3,1,4,1,2,0,10,152.0,7
564,0,4,1,4,1,1,1,7,156.0,6
565,1,3,1,3,1,2,0,10,151.0,6
566,0,4,1,4,0,1,1,10,156.0,3
567,1,5,1,3,0,1,1,10,124.0,1
568,0,4,1,1,1,1,0,9,124.0,9
569,0,5,1,3,0,1,0,10,26.0,2
570,1,6,1,4,0,1,1,10,26.0,4
571,0,3,1,3,1,2,0,10,152.0,8
572,0,5,1,4,0,1,1,9,124.0,1
573,0,4,1,3,0,1,1,10,26.0,6
574,0,3,1,4,1,2,0,9,160.0,6
575,1,3,1,3,0,1,1,11,124.0,8
576,0,3,1,4,1,2,0,10,152.0,6
