id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
51,1,3,1,1,1,2,0,10,152.0,1,0
52,1,3,1,3,1,2,0,10,152.0,6,0
53,1,3,1,4,0,2,0,10,152.0,8,0
54,1,5,1,3,0,1,1,7,124.0,1,0
55,1,3,1,2,1,2,0,10,160.0,3,0
56,0,3,1,1,1,2,0,10,152.0,2,0
57,1,4,1,4,0,1,1,10,152.0,8,1
58,0,3,1,2,0,2,0,10,152.0,6,0
59,1,3,1,1,1,2,0,7,152.0,6,0
60,0,5,1,3,0,1,1,10,111.0,8,0
61,1,3,1,1,0,2,0,10,152.0,9,0
62,0,4,1,1,0,3,1,10,124.0,3,0
63,0,5,1,4,1,1,0,7,26.0,5,0
64,0,4,1,1,1,1,0,10,152.0,3,0
65,0,3,1,4,1,2,0,10,152.0,1,0
66,1,5,1,3,1,1,0,10,26.0,4,0
67,0,3,1,4,1,1,0,7,124.0,2,0
68,1,4,1,2,0,1,1,10,154.0,6,0
69,0,4,1,4,0,1,1,10,124.0,8,0
70,1,3,1,3,0,2,1,10,152.0,2,0
71,1,3,1,3,0,2,1,10,152.0,3,0
72,1,3,1,2,0,2,1,7,152.0,5,0
73,0,4,1,3,0,1,1,10,124.0,2,1
74,0,5,1,4,0,1,1,10,26.0,3,0
75,1,3,1,1,1,2,0,10,152.0,0,0
76,0,3,1,4,0,2,1,10,152.0,3,0
77,0,4,1,4,0,1,1,10,124.0,1,1
78,1,4,1,3,0,1,1,7,157.0,1,0
79,0,3,1,4,1,2,0,10,152.0,3,0
80,1,4,1,3,0,1,1,10,26.0,8,1
81,1,3,1,4,1,2,0,10,152.0,8,0
82,0,5,1,3,1,1,0,10,26.0,6,0
83,0,3,1,1,0,2,1,10,152.0,6,1
84,0,4,1,1,1,1,0,10,124.0,9,0
85,1,4,1,3,0,1,0,10,145.0,3,1
86,1,3,1,1,1,2,0,10,152.0,7,0
87,1,3,1,4,1,2,0,10,152.0,1,0
88,1,3,1,1,1,2,0,10,152.0,8,0
89,1,5,1,3,1,1,0,10,26.0,4,0
90,0,4,1,1,1,1,0,7,124.0,9,0
91,0,3,1,3,1,2,0,10,152.0,5,0
92,1,3,1,3,1,2,0,10,152.0,0,0
93,1,3,1,1,1,2,0,10,152.0,4,0
94,1,3,1,3,0,2,1,7,152.0,0,0
95,1,3,1,3,1,2,0,9,152.0,6,0
96,0,4,1,4,1,1,0,10,152.0,3,0
97,0,3,1,4,0,2,1,10,152.0,8,1
98,1,3,1,3,1,2,0,9,152.0,3,0
99,1,3,1,4,1,2,0,10,160.0,8,0
100,1,3,1,2,1,2,0,9,152.0,2,0
101,1,3,1,1,1,2,0,10,152.0,7,0
102,0,5,1,4,0,1,1,10,26.0,4,1
103,0,6,1,3,0,1,1,10,26.0,8,0
104,0,4,1,2,0,1,1,10,26.0,1,0
105,0,5,1,3,1,1,0,10,52.0,1,0
106,0,5,1,4,0,3,1,7,26.0,2,0
107,0,3,1,3,0,2,1,10,156.0,8,1
108,1,4,1,3,0,1,1,10,124.0,1,1
109,0,4,1,1,1,1,1,7,156.0,3,0
110,0,5,0,4,0,1,1,7,124.0,0,0
111,1,4,1,3,1,1,0,10,26.0,1,0
112,1,4,1,3,1,1,0,10,124.0,2,0
113,1,3,1,3,1,2,0,10,152.0,3,0
114,1,4,1,1,0,1,0,7,157.0,1,0
115,1,3,1,4,1,2,0,7,160.0,6,0
116,1,4,1,3,0,1,1,10,124.0,3,1
117,0,3,1,4,1,2,0,10,152.0,4,0
118,1,3,1,1,1,2,0,10,152.0,6,0
119,1,3,1,4,0,1,1,10,26.0,1,0
120,0,3,1,2,1,1,0,10,26.0,4,0
121,0,6,1,3,1,1,0,10,120.0,6,0
122,1,4,1,4,0,1,1,7,124.0,2,1
123,0,3,1,2,1,2,0,10,152.0,3,0
124,0,3,1,3,1,2,0,10,152.0,4,0
125,1,6,1,2,0,1,1,10,14.0,4,1
126,1,3,1,3,1,2,0,10,152.0,4,0
127,1,3,1,4,1,2,0,10,152.0,7,0
128,0,3,1,4,0,2,0,10,152.0,6,0
129,1,5,1,4,1,1,0,10,122.0,6,0
130,0,3,1,1,1,2,0,10,152.0,8,0
131,1,3,1,4,0,2,1,10,152.0,9,0
132,1,4,1,2,0,1,1,10,124.0,4,1
133,0,3,1,2,0,2,1,10,152.0,0,0
134,0,5,1,1,0,1,1,10,124.0,5,0
135,0,3,1,3,0,2,1,7,156.0,2,0
136,0,3,1,1,1,2,0,10,152.0,7,0
137,0,4,1,4,1,1,0,10,122.0,5,0
138,1,4,1,3,0,1,1,10,124.0,5,0
139,1,3,1,3,0,2,1,10,151.0,5,0
140,0,3,1,3,0,1,1,7,156.0,5,1
141,0,3,1,1,1,2,0,7,159.0,6,0
142,0,3,1,3,1,2,0,10,152.0,5,0
143,1,5,1,3,0,1,1,10,124.0,3,0
144,0,5,1,1,1,1,0,10,26.0,7,0
145,0,5,1,3,0,3,1,10,26.0,4,1
146,0,4,1,4,0,1,1,9,124.0,9,0
147,0,5,1,1,0,1,1,10,160.0,9,0
148,0,4,1,1,0,1,1,10,124.0,3,0
149,0,5,1,1,0,1,1,10,26.0,0,0
150,0,4,1,1,1,1,0,10,124.0,6,0
151,1,6,1,3,1,1,1,7,25.0,1,0
152,1,5,1,3,0,3,1,10,26.0,1,1
153,1,3,1,4,1,2,0,10,152.0,5,0
154,1,3,1,2,0,1,1,7,156.0,6,1
155,1,5,1,4,0,3,1,7,157.0,8,0
156,0,3,1,1,0,2,1,7,160.0,5,0
157,1,4,1,2,0,1,1,10,26.0,0,1
158,0,3,1,2,1,2,0,10,152.0,6,0
159,1,4,1,3,0,1,1,10,26.0,9,1
160,0,5,1,3,0,1,1,10,26.0,8,0
161,1,3,1,3,0,2,1,10,124.0,9,0
162,1,5,1,4,1,1,0,10,124.0,8,0
163,0,4,1,2,0,1,1,7,160.0,0,0
164,0,6,1,3,0,1,1,10,25.0,7,0
165,0,5,1,3,0,3,1,10,125.0,7,0
166,1,5,1,1,1,1,0,10,26.0,1,0
167,1,3,1,4,1,2,0,9,152.0,2,0
168,1,4,1,1,1,1,0,10,124.0,0,0
169,1,4,1,1,1,1,0,10,7.0,8,0
170,0,3,1,4,1,1,0,10,26.0,0,0
171,1,5,1,4,0,1,1,10,8.0,6,0
172,1,3,1,4,1,2,0,9,152.0,4,0
173,0,3,1,1,0,2,0,10,160.0,3,0
174,1,3,1,2,1,2,0,10,160.0,4,0
175,0,3,1,4,0,1,1,10,154.0,9,0
176,1,3,1,1,1,2,0,7,152.0,6,0
177,0,3,1,4,1,2,0,10,152.0,7,0
178,0,3,1,4,1,2,0,7,152.0,2,0
179,0,3,1,1,1,2,0,11,152.0,5,0
180,0,3,1,3,1,2,0,10,152.0,9,0
181,1,3,1,3,1,2,0,10,152.0,0,0
182,1,3,1,4,0,2,1,10,160.0,6,0
183,0,3,1,4,1,2,0,10,152.0,7,0
184,1,4,1,4,0,1,1,10,152.0,2,0
185,1,3,1,1,1,2,0,7,160.0,9,0
186,1,3,1,1,1,2,0,10,152.0,9,0
187,0,3,1,1,1,2,0,10,152.0,7,0
188,1,3,1,4,1,2,0,10,152.0,5,0
189,1,4,1,2,0,1,1,10,131.0,5,0
190,0,4,1,3,0,1,1,10,26.0,4,1
191,1,3,1,1,1,2,0,10,152.0,8,0
192,0,4,1,3,0,1,1,10,26.0,7,1
193,0,4,1,4,0,1,1,10,26.0,9,1
194,0,5,1,3,0,3,1,10,26.0,8,1
195,1,3,1,1,1,2,0,10,152.0,1,0
196,1,3,1,3,0,2,0,10,152.0,9,0
197,1,3,1,2,0,2,0,10,152.0,9,0
198,1,5,1,3,0,1,1,10,26.0,4,0
199,0,3,1,3,1,2,0,10,152.0,4,0
200,0,4,1,3,0,1,1,10,26.0,8,0
201,0,3,1,2,0,2,1,10,152.0,3,1
202,1,5,1,2,1,1,0,10,124.0,6,0
203,0,5,1,1,0,1,1,10,26.0,6,0
204,1,4,1,3,1,1,0,10,122.0,7,0
205,0,4,1,4,0,1,1,7,157.0,1,1
206,0,5,1,3,0,1,1,10,109.0,4,0
207,1,4,1,4,0,1,1,9,26.0,8,1
208,1,3,1,4,0,2,0,9,152.0,9,0
209,1,3,1,3,1,2,0,10,152.0,8,0
210,0,4,1,3,0,1,1,7,124.0,2,1
211,1,4,1,1,0,1,0,10,124.0,8,0
212,1,3,1,4,1,2,0,10,152.0,4,0
213,1,5,1,1,0,1,1,10,157.0,4,0
214,1,5,1,4,1,1,0,10,94.0,3,0
215,0,4,1,3,0,1,1,10,124.0,8,0
216,1,5,1,4,1,1,0,10,124.0,5,0
217,1,6,1,3,0,1,1,10,122.0,1,0
218,0,6,1,3,0,1,1,10,122.0,7,0
219,1,3,1,3,0,1,1,10,124.0,2,1
220,1,4,1,4,0,1,1,7,124.0,0,0
221,1,3,1,3,1,2,0,10,152.0,6,0
222,0,5,1,3,0,1,1,10,48.0,0,0
223,1,3,1,1,1,2,0,10,152.0,6,0
224,0,5,1,3,0,1,1,7,26.0,9,0
225,1,3,1,4,1,2,0,7,152.0,6,0
226,0,3,1,1,1,2,0,7,152.0,2,0
227,0,3,1,3,1,2,0,10,152.0,6,0
228,0,5,1,3,1,1,0,10,124.0,9,0
229,0,3,1,3,0,2,0,10,160.0,7,0
230,1,3,1,4,0,1,1,10,163.0,9,1
231,0,3,1,3,1,2,0,10,152.0,8,0
232,0,4,1,4,0,1,1,10,26.0,6,1
233,1,3,1,3,1,2,0,10,152.0,7,0
234,0,4,1,4,0,1,1,10,124.0,7,1
235,1,3,1,3,0,2,1,10,152.0,2,0
236,1,5,1,4,0,3,1,7,26.0,9,0
237,1,3,1,2,1,2,0,9,152.0,5,0
238,1,4,1,1,0,1,1,10,122.0,5,0
239,0,6,1,1,1,1,0,10,26.0,7,0
240,1,5,1,3,1,1,0,10,26.0,3,0
241,0,4,1,3,0,1,1,10,26.0,1,0
242,0,3,1,2,1,2,1,11,152.0,9,0
243,0,3,1,1,1,2,1,10,152.0,9,0
244,1,5,1,4,0,3,1,10,26.0,8,1
245,1,5,1,3,1,1,0,10,152.0,1,0
246,1,3,1,3,1,2,0,10,152.0,4,0
247,0,3,1,4,1,2,0,10,160.0,8,0
248,1,4,1,3,0,1,1,10,30.0,7,0
249,1,4,1,3,1,1,0,7,122.0,2,0
250,1,3,1,4,0,2,1,10,152.0,8,0
251,0,3,1,3,1,2,0,10,152.0,0,0
252,1,6,1,3,0,1,0,10,122.0,3,0
253,1,4,1,4,0,1,1,7,156.0,5,0
254,0,5,1,3,1,1,0,10,124.0,8,0
255,0,4,1,1,0,3,1,10,26.0,1,0
256,1,3,1,4,1,2,0,10,152.0,0,0
257,0,4,1,1,0,1,1,10,124.0,3,1
258,0,3,1,4,0,2,0,10,160.0,3,0
259,0,5,1,1,0,1,1,10,26.0,5,0
260,0,4,1,4,0,1,1,10,26.0,6,1
261,1,3,1,4,1,2,0,10,160.0,1,0
262,1,3,1,2,1,2,0,10,152.0,4,0
263,0,5,1,4,0,1,1,10,26.0,6,0
264,0,3,1,1,0,2,1,10,152.0,7,0
265,0,5,1,3,0,3,1,10,26.0,8,1
266,0,5,1,3,0,1,0,10,124.0,0,0
267,0,3,1,3,0,2,1,10,124.0,4,1
268,1,4,1,4,0,1,1,9,93.0,2,1
269,0,3,1,3,0,2,1,11,26.0,3,1
270,0,4,1,4,0,1,1,9,26.0,2,1
271,0,4,1,3,0,1,1,10,124.0,6,0
272,1,3,1,3,1,2,0,10,152.0,7,0
273,1,3,1,2,1,2,0,10,152.0,7,0
274,0,4,1,3,1,1,0,10,122.0,8,0
275,0,4,1,3,0,1,1,10,26.0,0,0
276,1,4,1,3,0,1,1,10,124.0,2,1
277,0,4,1,3,0,1,1,10,56.0,1,1
278,0,3,1,4,0,2,0,7,152.0,7,0
279,0,3,1,3,1,2,0,10,152.0,6,0
280,0,3,1,1,0,1,1,7,124.0,4,1
281,0,3,1,1,1,2,0,10,152.0,6,0
282,0,3,1,4,1,2,0,10,160.0,5,0
283,0,5,1,4,1,1,0,10,26.0,4,0
284,1,6,1,3,1,1,0,10,26.0,6,0
285,1,4,1,1,0,3,1,10,26.0,4,0
286,1,3,1,4,0,2,1,10,152.0,0,0
287,0,6,1,4,1,1,0,10,26.0,5,0
288,0,5,1,4,0,1,1,10,26.0,4,1
289,0,4,1,4,1,1,0,7,26.0,4,0
290,1,3,1,3,1,2,0,10,152.0,2,0
291,0,3,1,4,0,1,1,10,154.0,1,1
292,0,4,1,2,1,1,0,10,160.0,0,0
293,0,3,1,3,1,2,0,10,152.0,5,0
294,0,3,1,4,1,2,0,10,152.0,4,0
295,0,3,1,3,0,1,1,7,158.0,0,0
296,0,3,1,1,1,1,0,10,124.0,4,0
297,0,4,1,4,0,3,1,7,26.0,6,0
298,1,3,1,4,1,2,0,10,152.0,9,0
299,0,3,1,4,1,2,0,7,152.0,2,0
300,0,3,1,4,0,2,1,10,152.0,2,0
301,0,4,1,3,0,1,1,10,124.0,1,1
302,0,4,1,4,0,1,1,10,21.0,0,0
303,0,5,1,1,0,1,1,7,157.0,1,0
304,1,6,1,4,0,1,1,10,26.0,3,1
305,0,5,1,1,0,3,1,10,80.0,2,1
306,1,3,1,3,1,2,0,10,152.0,1,0
307,0,4,1,3,1,1,0,10,26.0,1,0
308,1,3,1,4,1,2,0,10,152.0,9,0
309,1,4,1,3,0,1,1,10,124.0,4,1
310,0,3,1,3,0,1,1,10,124.0,9,0
311,0,5,1,3,0,1,1,10,122.0,9,0
312,1,6,1,2,1,1,0,7,125.0,2,0
313,1,3,1,1,0,2,1,9,152.0,2,1
314,1,3,1,4,1,2,0,10,152.0,6,0
315,1,3,1,3,1,2,0,10,152.0,0,0
316,1,3,1,1,0,2,1,10,152.0,4,0
317,0,3,1,1,0,2,0,10,157.0,7,1
318,0,3,1,1,1,2,0,10,152.0,3,0
319,1,3,1,4,0,2,0,7,26.0,9,0
320,0,4,1,1,0,1,0,9,26.0,9,0
321,0,4,1,4,1,1,0,10,26.0,8,0
322,1,5,1,3,0,1,1,10,124.0,8,0
323,0,5,1,3,0,1,1,10,8.0,4,1
324,0,3,1,3,0,2,0,10,152.0,7,0
325,0,3,1,4,0,2,1,9,152.0,8,1
326,1,3,1,1,0,2,1,10,124.0,5,1
327,1,6,1,1,1,1,0,7,25.0,2,0
328,0,5,1,4,1,1,0,10,124.0,2,0
329,1,4,1,4,1,1,0,7,124.0,9,0
330,0,5,1,1,0,3,1,10,26.0,9,0
331,0,6,1,3,0,1,1,10,26.0,6,0
332,1,5,1,4,1,1,0,10,138.0,2,0
333,0,3,1,1,1,2,0,11,152.0,2,0
334,1,5,1,4,0,1,1,7,156.0,9,0
335,0,5,1,4,1,1,0,10,11.0,5,0
336,1,4,1,1,0,1,1,7,26.0,7,0
337,0,4,1,4,1,1,0,10,26.0,6,0
338,0,4,1,1,0,1,1,7,124.0,3,0
339,0,6,1,2,1,1,0,10,26.0,9,0
340,0,3,1,4,1,1,0,9,124.0,6,0
341,0,4,1,3,0,1,1,10,26.0,8,1
342,0,3,1,1,1,2,0,10,152.0,7,0
343,1,3,1,4,1,2,0,10,152.0,4,0
344,0,6,1,3,0,1,1,10,26.0,7,0
345,0,3,1,1,1,2,0,10,152.0,7,0
346,1,4,1,3,0,1,1,10,26.0,2,1
347,0,5,1,4,0,1,1,7,157.0,3,0
348,1,3,1,4,1,2,0,10,152.0,8,0
349,0,4,1,3,0,3,1,10,52.0,5,0
350,1,4,1,3,0,1,1,10,26.0,8,0
351,1,5,1,1,1,1,0,10,152.0,3,0
352,0,5,1,2,1,1,0,10,124.0,5,0
353,0,4,1,3,0,1,1,10,26.0,5,0
354,0,4,1,2,0,1,1,10,124.0,7,0
355,0,4,1,1,1,1,0,10,26.0,8,0
356,0,5,1,3,0,1,1,7,26.0,3,0
357,1,4,1,3,0,1,1,11,124.0,8,1
358,1,5,1,1,0,1,1,10,124.0,8,1
359,0,4,1,1,1,1,0,10,124.0,1,0
360,0,5,1,1,1,1,0,10,26.0,3,0
361,1,3,1,1,1,2,0,10,152.0,1,0
362,0,4,1,4,0,1,1,10,124.0,1,1
363,1,3,1,4,0,2,0,10,160.0,7,0
364,0,3,1,4,0,2,1,9,152.0,6,0
365,1,3,1,4,1,2,0,10,152.0,2,0
366,0,5,1,1,0,1,1,7,124.0,3,1
367,0,4,1,1,1,1,0,10,124.0,5,0
368,0,5,1,4,0,1,1,10,26.0,5,0
369,0,5,1,3,1,1,0,10,55.0,6,0
370,1,5,1,3,0,3,1,11,147.0,2,0
371,1,3,1,2,1,2,0,10,152.0,7,0
372,0,3,1,1,1,2,0,10,152.0,9,0
373,1,5,1,3,0,1,1,10,124.0,8,0
374,0,3,1,3,0,1,1,10,152.0,2,0
375,0,3,1,3,0,1,1,10,122.0,4,1
376,0,3,1,2,1,2,0,10,152.0,2,0
377,1,3,1,1,0,2,1,10,152.0,6,0
378,0,4,1,4,0,3,1,10,124.0,1,1
379,1,3,1,4,1,2,0,10,152.0,0,0
380,1,4,1,3,0,1,1,10,26.0,1,1
381,1,4,1,3,0,1,1,10,154.0,5,1
382,0,3,1,1,1,2,0,10,152.0,8,0
383,0,4,1,3,1,1,0,10,152.0,4,0
384,0,3,1,3,1,2,0,10,160.0,5,0
385,0,4,1,4,1,1,0,10,124.0,4,0
386,0,3,1,3,1,2,0,10,152.0,3,0
387,0,4,1,3,0,1,1,10,124.0,8,1
388,0,3,1,1,1,2,0,10,163.0,8,0
389,0,3,1,3,0,2,0,10,160.0,2,0
390,1,3,1,2,1,2,0,10,152.0,0,0
391,0,3,1,1,0,2,1,10,152.0,1,0
392,1,4,1,3,1,1,0,10,26.0,8,0
393,1,3,1,4,0,2,0,10,151.0,9,0
394,1,4,1,4,0,1,0,7,26.0,2,0
395,1,3,1,4,1,2,0,10,152.0,2,0
396,0,5,1,3,0,1,1,10,13.0,9,1
397,0,5,1,4,0,1,1,10,124.0,0,0
398,0,5,1,4,1,1,0,10,26.0,7,0
399,0,5,1,3,0,1,1,10,26.0,9,0
400,1,3,1,2,1,2,0,10,152.0,1,0
401,0,4,1,3,0,1,1,10,26.0,2,1
402,1,4,1,3,0,1,1,10,26.0,8,1
403,0,4,1,4,0,1,1,7,156.0,0,0
404,0,3,1,1,0,2,1,10,163.0,2,0
405,0,3,1,4,1,2,0,10,152.0,3,0
406,1,4,1,3,0,1,1,7,125.0,4,1
407,0,6,1,3,0,1,1,10,26.0,5,0
408,0,3,1,4,1,2,0,10,152.0,8,0
409,1,5,1,1,1,1,0,10,124.0,9,0
410,1,3,1,4,1,2,0,10,152.0,2,0
411,1,3,1,2,1,2,0,10,152.0,2,0
412,0,4,1,3,1,1,0,10,26.0,5,0
413,1,3,1,1,1,2,0,7,152.0,8,0
414,0,3,1,3,1,2,0,10,152.0,7,0
415,0,3,1,4,1,2,0,10,152.0,3,0
416,0,3,1,4,0,2,1,10,152.0,9,0
417,0,6,1,3,1,1,0,10,26.0,1,0
418,1,3,1,3,0,2,0,10,152.0,5,0
419,0,3,1,3,0,1,0,7,124.0,3,0
420,1,4,1,3,1,1,0,10,124.0,3,0
421,0,4,1,3,1,1,0,10,124.0,3,0
422,0,5,1,4,1,1,0,7,124.0,5,0
423,1,4,1,4,0,1,1,10,8.0,1,0
424,0,3,1,1,0,2,1,10,152.0,6,0
425,0,3,1,4,0,1,0,7,122.0,1,0
426,1,3,1,4,0,2,1,10,152.0,7,0
427,0,3,1,1,0,1,1,10,124.0,9,1
428,0,3,1,3,0,2,1,10,152.0,4,0
429,1,3,1,1,0,2,0,10,152.0,7,0
430,0,5,1,1,1,1,0,10,160.0,7,0
431,0,3,1,1,1,2,0,10,152.0,2,0
432,0,3,1,2,0,2,1,10,152.0,2,0
433,1,3,1,3,1,2,0,10,152.0,9,0
434,0,3,1,4,1,2,0,10,152.0,1,0
435,0,3,1,3,1,2,0,10,124.0,7,0
436,0,3,1,1,0,2,1,10,124.0,7,1
437,1,4,1,3,0,1,1,11,26.0,6,0
438,1,3,1,3,1,2,0,10,152.0,9,0
439,1,3,1,3,1,2,0,10,152.0,0,0
440,0,3,1,3,0,2,1,10,152.0,9,0
441,0,4,1,4,0,1,1,7,26.0,8,0
442,1,3,1,1,1,2,0,10,152.0,2,0
443,1,3,1,1,1,2,0,10,152.0,7,0
444,0,3,1,3,1,2,0,10,156.0,8,0
445,0,3,1,4,1,2,0,10,152.0,7,0
446,1,5,1,3,0,1,1,10,122.0,9,0
447,1,4,1,3,0,1,1,11,122.0,4,1
448,0,3,1,2,1,2,0,10,152.0,1,0
449,1,3,1,3,1,2,0,10,152.0,9,0
450,1,3,1,4,1,2,0,9,152.0,2,0
451,1,3,1,3,0,1,1,10,26.0,8,1
452,0,3,1,1,1,2,0,10,152.0,3,0
453,1,4,1,4,1,1,0,10,26.0,1,0
454,0,4,1,3,0,3,1,10,124.0,0,0
455,1,5,1,3,0,1,1,10,147.0,8,0
456,1,3,1,4,1,2,0,10,26.0,8,0
457,0,6,1,1,0,1,1,10,26.0,8,0
458,1,5,1,4,1,1,1,10,11.0,4,0
459,1,3,1,3,0,2,1,7,152.0,1,1
460,0,4,1,4,0,1,1,7,124.0,3,0
461,0,3,1,3,0,1,1,7,124.0,6,0
462,1,4,1,4,1,1,0,10,26.0,6,0
463,1,4,1,3,0,1,1,10,152.0,1,0
464,0,3,1,4,1,2,0,10,152.0,3,0
465,0,3,1,2,1,2,0,10,152.0,9,0
466,1,3,1,3,0,2,1,10,151.0,5,0
467,1,4,1,3,0,1,1,10,124.0,8,1
468,0,5,1,3,0,1,1,10,26.0,4,0
469,0,3,1,1,0,2,1,10,152.0,1,0
470,0,3,1,4,1,2,0,10,152.0,3,0
471,1,3,1,3,0,1,1,7,124.0,8,0
472,0,4,1,3,0,3,1,10,26.0,2,1
473,0,3,1,3,1,2,0,10,152.0,9,0
474,0,5,1,2,1,1,1,10,124.0,0,0
475,0,3,1,1,1,1,0,10,26.0,6,0
476,1,3,1,1,1,2,0,10,152.0,7,0
477,1,4,1,3,1,1,0,7,26.0,8,0
478,1,3,1,3,1,1,0,10,26.0,3,0
479,1,3,1,4,0,2,1,10,160.0,2,0
480,1,3,1,3,1,2,0,10,152.0,6,0
481,0,5,1,4,0,2,1,10,124.0,8,0
482,1,3,1,1,1,2,0,10,152.0,4,0
483,0,4,1,3,0,3,1,10,26.0,4,0
484,0,4,1,3,0,1,1,10,26.0,1,1
485,0,3,1,4,0,2,1,7,160.0,0,0
486,1,4,1,3,1,1,0,10,26.0,5,0
487,0,5,1,3,1,1,0,7,124.0,6,0
488,1,3,1,3,0,1,0,10,156.0,8,0
489,1,3,1,4,1,2,0,11,152.0,3,0
490,1,6,1,4,0,3,1,10,26.0,9,0
491,1,3,1,3,0,2,1,10,152.0,8,0
492,0,4,1,4,0,1,1,9,124.0,8,1
493,1,5,1,3,0,1,1,10,26.0,2,0
494,1,4,1,2,0,1,1,10,163.0,1,0
495,1,5,1,3,0,1,1,10,26.0,7,1
496,0,5,1,4,0,3,1,10,30.0,3,0
497,0,4,1,3,0,1,1,10,124.0,7,0
498,1,3,1,3,1,2,0,7,152.0,3,0
499,0,5,1,1,1,1,0,10,124.0,1,0
500,0,3,1,1,1,2,0,7,152.0,1,0
501,0,4,1,1,0,1,1,10,26.0,6,1
502,1,3,1,4,1,2,0,10,152.0,5,0
503,1,5,1,4,0,1,1,10,100.0,6,0
504,0,3,1,1,0,2,1,10,152.0,7,0
505,0,5,1,4,1,1,0,7,29.0,0,0
506,0,3,1,3,0,2,1,11,26.0,9,0
507,0,4,1,4,0,1,1,10,31.0,1,0
508,0,3,1,3,1,2,0,7,160.0,1,0
509,1,6,1,3,1,1,0,10,26.0,4,0
510,0,4,1,1,0,1,1,10,124.0,3,1
511,0,3,1,4,1,2,0,10,152.0,6,0
512,1,3,1,1,1,2,0,10,152.0,7,0
513,0,5,1,3,0,1,1,10,124.0,6,0
514,1,4,1,3,1,1,0,10,26.0,3,0
515,0,4,1,2,0,1,0,10,124.0,5,0
516,1,4,1,2,0,3,1,7,124.0,9,1
517,0,4,1,3,0,1,1,10,124.0,4,1
518,0,4,1,1,0,1,1,10,124.0,9,0
519,1,3,1,3,1,2,0,10,160.0,6,0
520,0,5,1,1,0,1,0,10,124.0,5,0
521,1,5,1,3,0,3,1,10,122.0,7,0
522,0,4,1,4,1,1,0,7,12.0,7,0
523,0,4,1,4,0,1,0,7,124.0,4,0
524,0,4,1,2,0,1,1,10,124.0,7,0
525,0,4,1,4,0,1,1,10,124.0,5,0
526,1,5,1,3,0,3,1,10,26.0,0,1
527,0,3,1,3,0,2,0,7,152.0,3,0
528,0,6,1,4,0,1,1,7,30.0,1,0
529,0,3,1,1,0,2,1,10,124.0,1,1
530,1,3,1,1,1,2,0,10,152.0,8,0
531,0,4,1,4,0,1,1,10,26.0,9,1
